,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
9,Art Stick,34.0,https://www.bobbibrown.es/product/2339/7402/makeup/lips/art-stick/limited-edition#/shade/Rose_Brown,PINTALABIOS,PRIMAVERA / OTOÑO / INVIERNO,BOBBI BROWN
10,Luxe Defining Lipstick,42.0,https://www.bobbibrown.es/product/2339/79631/makeup/lips/luxe-defining-lipstick/fh20#/shade/Waterlily,PINTALABIOS,TODAS,BOBBI BROWN
11,Luxe Lip Color,42.0,https://www.bobbibrown.es/product/2339/37182/makeup/lips/luxe-lip-color#/shade/Fearless_Rose,PINTALABIOS,TODAS,BOBBI BROWN
12,Lip Color,34.0,https://www.bobbibrown.es/product/2339/7524/makeup/lips/lip-color#/shade/Beige,PINTALABIOS,TODAS,BOBBI BROWN
13,Luxe Matte Lip Color,42.0,https://www.bobbibrown.es/product/2339/59513/makeup/lips/luxe-matte-lip-color/limited-edition#/shade/Nude_Reality,PINTALABIOS,TODAS,BOBBI BROWN
14,Pot Rouge for Lips & Cheeks,38.0,https://www.bobbibrown.es/product/2339/20488/makeup/lips/pot-rouge-for-lips-cheeks#/shade/Powder_Pink,PINTALABIOS,PRIMAVERA / VERANO,BOBBI BROWN
15,Crushed Liquid Lip,34.0,https://www.bobbibrown.es/product/2339/62860/makeup/lips/crushed-liquid-lip/nuevo#/shade/Juicy_Date,PINTALABIOS,TODAS,BOBBI BROWN
16,Lip Balm SPF 15,27.0,https://www.bobbibrown.es/product/2339/8221/makeup/lips/lip-balm-spf-15/limited-edition,PINTALABIOS,TODAS,BOBBI BROWN
17,Nourishing Lip Color,34.0,https://www.bobbibrown.es/product/2339/40428/makeup/lips/nourishing-lip-color/ss16#/shade/Rose_Petal,PINTALABIOS,PRIMAVERA / OTOÑO / INVIERNO,BOBBI BROWN
18,Lip Pencil,27.0,https://www.bobbibrown.es/product/2339/32757/makeup/lips/lip-pencil/fh14#/shade/Ballet_Pink,PINTALABIOS,TODAS,BOBBI BROWN
19,Brocha para labios,34.0,https://www.bobbibrown.es/product/2339/7739/makeup/lips/brocha-para-labios,PINTALABIOS,PRIMAVERA,BOBBI BROWN
20,High Shimmer Lip Gloss,21.0,https://www.bobbibrown.es/product/2339/15913/makeup/lips/high-shimmer-lip-gloss/ss11#/shade/Bellini,PINTALABIOS,TODAS,BOBBI BROWN
21,Crushed Oil-Infused Gloss,32.0,https://www.bobbibrown.es/product/2339/72380/makeup/lips/crushed-oil-infused-gloss/ss20#/shade/Free_Spirit,PINTALABIOS,OTOÑO / INVIERNO,BOBBI BROWN
22,Mini Crushed Lip Color,18.0,https://www.bobbibrown.es/product/2339/80765/makeup/lips/mini-crushed-lip-color#/shade/Cranberry,PINTALABIOS,TODAS,BOBBI BROWN
23,Extra Plump Lip Serum,36.0,https://www.bobbibrown.es/product/2339/105136/makeup/lips/extra-plump-lip-serum,PINTALABIOS,OTOÑO / INVIERNO,BOBBI BROWN
24,Mini Luxe Lip Color,16.5,https://www.bobbibrown.es/product/2339/80769/makeup/lips/mini-luxe-lip-color#/shade/Hibiscus,PINTALABIOS,OTOÑO / INVIERNO,BOBBI BROWN
